Date,Open,High,Low,Last,Close,VWAP,Prev Close,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,166,170,166,170,170,169.52,157.4,33259,5.64E+11,,,
04-01-2000,182,183.45,171,174,173.8,174.99,170,168710,2.95E+12,,,
05-01-2000,170,173.9,165,168,166.95,169.2,173.8,159820,2.70E+12,,,
06-01-2000,168,170,165.3,168.95,168.3,168.44,166.95,85026,1.43E+12,,,
07-01-2000,162.15,171,162.15,170.75,168.35,166.79,168.3,85144,1.42E+12,,,
10-01-2000,172.9,179.5,165,166.3,165.9,167.79,168.35,100434,1.69E+12,,,
11-01-2000,166.5,167.9,157,163,163.4,161.4,165.9,145784,2.35E+12,,,
12-01-2000,163.75,167.95,162.3,165.1,165.45,163.89,163.4,85952,1.41E+12,,,
13-01-2000,169.9,169.9,165,165.95,165.1,165.26,165.45,48276,7.98E+11,,,
14-01-2000,168,168,164,166,165.45,164.68,165.1,58152,9.58E+11,,,
17-01-2000,174,178.7,172.05,178.7,178.7,177.96,165.45,137404,2.45E+12,,,
18-01-2000,178.7,178.7,164.55,168.2,165.7,168.86,178.7,255652,4.32E+12,,,
19-01-2000,172,179,172,179,179,178,165.7,349818,6.23E+12,,,
20-01-2000,184.8,184.8,176,177.8,178.6,179.03,179,269098,4.82E+12,,,
21-01-2000,176,192,172.1,191,188.15,181.9,178.6,472329,8.59E+12,,,
24-01-2000,198.8,203.2,193,200.9,200.55,198.75,188.15,449366,8.93E+12,,,
25-01-2000,199,216.6,199,216.6,216.6,210.62,200.55,290291,6.11E+12,,,
27-01-2000,224,233.95,221.25,228,229.7,229.18,216.6,563582,1.29E+13,,,
28-01-2000,230,233,224,226,227.9,227.85,229.7,479165,1.09E+13,,,
31-01-2000,230.1,246.15,230.1,234.1,237.75,241.45,227.9,637380,1.54E+13,,,
01-02-2000,236,244,235,241,240.95,238.92,237.75,390779,9.34E+12,,,
02-02-2000,260.2,260.25,239,240,244,245.93,240.95,343832,8.46E+12,,,
03-02-2000,244,250,224.5,226.25,225.95,233.14,244,284687,6.64E+12,,,
04-02-2000,229.95,232,217.5,230.25,228.95,224,225.95,265704,5.95E+12,,,
07-02-2000,235,247.3,230,244.75,246.7,240.7,228.95,389035,9.36E+12,,,
08-02-2000,250,253.8,240.1,253,250.75,249.44,246.7,305208,7.61E+12,,,
09-02-2000,255,261,246.1,251,252.5,252.96,250.75,317233,8.02E+12,,,
10-02-2000,250,262,248.25,251,251.75,254.44,252.5,210086,5.35E+12,,,
11-02-2000,255.1,259,231.65,233,232.1,236.2,251.75,264823,6.25E+12,,,
14-02-2000,235,235,220.15,234,233.45,231.65,232.1,252544,5.85E+12,,,
15-02-2000,234,235,225.1,230,227.6,231.01,233.45,194087,4.48E+12,,,
16-02-2000,244.9,245.85,230,245.85,245.85,239.38,227.6,70600,1.69E+12,,,
17-02-2000,257.7,257.7,248.15,248.15,250.4,253.57,245.85,234160,5.94E+12,,,
18-02-2000,251,253,239,243,242.6,244.75,250.4,118777,2.91E+12,,,
21-02-2000,243.25,248,235.1,235.6,236.15,240.46,242.6,110472,2.66E+12,,,
22-02-2000,236.05,240,217.3,217.3,217.55,223.6,236.15,174806,3.91E+12,,,
23-02-2000,226,234.9,217.5,220.5,219.45,226.4,217.55,134508,3.05E+12,,,
24-02-2000,222,230,215.5,227,227,223.39,219.45,87892,1.96E+12,,,
25-02-2000,229.95,234,222,227.5,227,227.89,227,126532,2.88E+12,,,
28-02-2000,229.85,230,220,227.5,227.55,224.08,227,85721,1.92E+12,,,
29-02-2000,228,239,209.5,218.95,216.8,226.42,227.55,258688,5.86E+12,,,
01-03-2000,218,234.15,218,234.15,234.15,230.17,216.8,32094,7.39E+11,,,
02-03-2000,250,252.9,250,252.9,252.9,252.9,234.15,39936,1.01E+12,,,
03-03-2000,273.15,273.15,273.15,273.15,273.15,273.15,252.9,64294,1.76E+12,,,
